Twentieth Century Fox Film Corporation
Columbia Pictures Corporation
DreamWorks Animation
Paramount Pictures
DreamWorks SKG
Warner Bros.
Universal Pictures
Walt Disney Pictures
Lionsgate
Weinstein Company
Open Road Films (II)
Open Road Films
CBS Films
Amblin Entertainment
Gaumont International
Gaumont
Metro-Goldwyn-Mayer (MGM)
