tt0211181,102 Dalmatians,2000,11/22/00,4.8,25833,85000000,183611771,19883351,Cruella Productions,['Kevin Lima'],,
tt0209958,The Cell,2000,8/18/00,6.3,78724,33000000,104155843,17515050,New Line Cinema,['Tarsem Singh'],,
tt0200550,Coyote Ugly,2000,8/4/00,5.6,89302,45000000,113916474,17319282,Jerry Bruckheimer Films,['David McNally'],,
tt0190138,The Whole Nine Yards,2000,2/18/00,6.7,89133,24000000,106371651,15915676,Franchise Pictures,['Jonathan Lynn'],,
tt0184894,Shanghai Noon,2000,5/26/00,6.6,94631,55000000,99274467,19647065,Touchstone Pictures,['Tom Dey'],,
tt0195714,Final Destination,2000,3/17/00,6.7,177246,23000000,112880294,10015822,New Line Cinema,['James Wong'],,
tt0138749,The Road to El Dorado,2000,3/31/00,6.9,55937,95000000,76529181,12846652,DreamWorks Animation,['Bibo Bergeron', 'Don Paul'],
tt0203019,Men of Honor,2000,11/10/00,7.2,87925,32000000,82343495,13339465,Fox 2000 Pictures,['George Tillman Jr.'],,
tt0220099,The Tigger Movie,2000,2/11/00,6.3,13048,20000000,96159800,9427532,Disney Television Animation,['Jun Falkenstein'],,
tt0186151,Frequency,2000,4/28/00,7.3,80193,31000000,68106245,9025584,New Line Cinema,['Gregory Hoblit'],,
tt0163978,The Beach,2000,2/11/00,6.6,172467,50000000,144056873,15277921,Figment Films,['Danny Boyle'],,
tt0134847,Pitch Black,2000,2/18/00,7.1,190905,23000000,53187659,14015741,Polygram Filmed Entertainment,['David Twohy'],,
tt0174480,Autumn in New York,2000,8/11/00,5.5,19877,40000000,90726668,10987006,Metro-Goldwyn-Mayer (MGM),['Joan Chen'],,
tt0191754,28 Days,2000,4/14/00,6,34006,43000000,62198945,10310672,Columbia Pictures Corporation,['Betty Thomas'],,
tt0162983,Hanging Up,2000,2/18/00,4.7,9992,60000000,51880044,13567978,Columbia Pictures Corporation,['Diane Keaton'],,
tt0192614,The Skulls,2000,3/31/00,5.6,26525,15000000,35007180,11034885,Universal Pictures,['Rob Cohen'],,
tt0216216,The 6th Day,2000,11/17/00,5.9,98720,82000000,96085477,13020883,Phoenix Pictures,['Roger Spottiswoode'],,
tt0198021,Where the Heart Is,2000,4/28/00,6.8,26591,15000000,33771174,8292939,Twentieth Century Fox Film Corporation,['Matt Williams'],,
tt0219653,Dracula 2000,2000,12/22/00,4.9,27008,54000000,47053625,8636567,Dimension Films,['Patrick Lussier'],,
tt0228750,Proof of Life,2000,12/8/00,6.2,48724,65000000,62761005,10207869,Castle Rock Entertainment,['Taylor Hackford'],,
tt0146984,The Legend of Bagger Vance,2000,11/3/00,6.7,44554,60000000,30695227,11516712,Twentieth Century Fox Film Corporation,['Robert Redford'],,
tt0208092,Snatch,2000,1/19/01,8.3,587138,6000000,83557872,8005163,Columbia Pictures Corporation,['Guy Ritchie'],,
tt0204626,The Watcher,2000,9/8/00,5.3,21993,33000000,28927720,9062295,Lewitt / Eberts Prouctions,['Joe Charbanic'],,
tt0146882,High Fidelity,2000,3/31/00,7.6,140604,20000000,27277055,6429107,Touchstone Pictures,['Stephen Frears'],,
tt0131704,The Adventures of Rocky  Bullwinkle,2000,6/30/00,4.1,16441,76000000,26000610,6814270,Capella International,['Des McAnuff'],,
tt0171580,Nurse Betty,2000,9/8/00,6.3,29928,24000000,25167270,7145950,Gramercy Pictures (I),['Neil LaBute'],,
tt0120913,Titan AE,2000,6/16/00,6.6,51659,75000000,36755000,9376845,David Kirschner Productions,['Don Bluth', 'Gary Goldman'],
tt0185183,Battlefield Earth,2000,5/12/00,2.4,64655,44000000,21471685,11548898,Warner Bros.,['Roger Christian'],,
tt0204175,Boys and Girls,2000,6/16/00,5.3,13436,16000000,24678000,7008950,Punch 21 Productions,['Robert Iscove'],,
tt0185014,Wonder Boys,2000,2/25/00,7.4,54156,35000000,19389454,87505,British Broadcasting Corporation (BBC),['Curtis Hanson'],,
tt0208874,The Contender,2000,10/13/00,7,20280,20000000,22361811,5363900,Cinerenta Medienbeteiligungs KG,['Rod Lurie'],,
tt0210616,Center Stage,2000,5/12/00,6.7,15584,18000000,17174870,4604621,Columbia Pictures Corporation,['Nicholas Hytner'],,
tt0242423,Dude Wheres My Car,2000,12/15/00,5.5,115076,13000000,73180723,13845914,Twentieth Century Fox Film Corporation,['Danny Leiner'],,
tt0190590,O Brother Where Art Thou,2000,2/2/01,7.8,220706,26000000,71868327,195104,Touchstone Pictures,['Joel Coen', 'Ethan Coen'],
tt0191397,The Replacements,2000,8/11/00,6.5,47266,50000000,50054511,11039214,Bel Air Entertainment,['Howard Deutch'],,
tt0185431,Little Nicky,2000,11/10/00,5.3,79463,80000000,39442871,16063904,Avery Pix,['Steven Brill'],,
tt0230030,Bedazzled,2000,10/20/00,6,80579,48000000,90383208,13106526,Twentieth Century Fox Film Corporation,['Harold Ramis'],,
tt0171433,Keeping the Faith,2000,4/14/00,6.4,44381,30000000,37036404,8078671,Spyglass Entertainment,['Edward Norton'],,
tt0186894,Bounce,2000,11/17/00,5.7,17314,35000000,36779296,11423716,Miramax,['Don Roos'],,
tt0158622,The Flintstones in Viva Rock Vegas,2000,4/28/00,3.6,15111,60000000,59468275,10518435,Universal Pictures,['Brian Levant'],,
tt0146309,Thirteen Days,2000,1/12/01,7.3,44649,80000000,34566746,46668,New Line Cinema,['Roger Donaldson'],,
tt0156812,My Dog Skip,2000,3/3/00,7,16425,5000000,34099640,56941,Alcon Entertainment,['Jay Russell'],,
tt0223897,Pay It Forward,2000,10/20/00,7.2,94472,40000000,33508922,9631359,Warner Bros.,['Mimi Leder'],,
tt0122459,Return to Me,2000,4/7/00,6.9,16267,24000000,32662299,7820836,JLT Productions,['Bonnie Hunt'],,
tt0181875,Almost Famous,2000,9/22/00,7.9,203048,60000000,47383689,2314646,Columbia Pictures,['Cameron Crowe'],,
tt0160009,The Art of War,2000,8/25/00,5.7,25127,40000000,30208599,10410993,Morgan Creek Productions,['Christian Duguay'],,
tt0163983,Bless the Child,2000,8/11/00,5.1,11965,40000000,29374178,9413684,BTC Productions KG,['Chuck Russell'],,
tt0199725,Love  Basketball,2000,4/21/00,7.2,13955,15000000,27441122,8139180,40 Acres &amp; A Mule Filmworks,['Gina Prince-Bythewood'],,
tt0229260,Book of Shadows Blair Witch 2,2000,10/27/00,4,28461,15000000,47737094,13223887,Artisan Entertainment,['Joe Berlinger'],,
tt0209144,Memento,2000,5/25/01,8.5,824261,9000000,39723096,235488,Newmarket Capital Group,['Christopher Nolan'],,
tt0184858,Reindeer Games,2000,2/25/00,5.7,30663,34000000,23360779,8128356,Dimension Films,['John Frankenheimer'],,
tt0249462,Billy Elliot,2000,11/10/00,7.7,96496,5000000,109280263,215681,StudioCanal,['Stephen Daldry'],,
tt0192731,Urban Legends Final Cut,2000,9/22/00,4.1,12883,15000000,38574362,8505513,Phoenix Pictures,['John Ottman'],,
tt0186975,Down to You,2000,1/21/00,4.9,12148,9000000,20035310,7602507,Open City Films,['Kris Isacsson'],,
tt0218839,Best in Show,2000,10/20/00,7.5,45056,6000000,18621249,413436,Castle Rock Entertainment,['Christopher Guest'],,
tt0199753,Red Planet,2000,11/10/00,5.7,47023,70000000,22700000,8721296,Warner Bros.,['Antony Hoffman'],,
tt0196216,Small Time Crooks,2000,5/19/00,6.7,30690,18000000,17071230,3880723,DreamWorks SKG,['Woody Allen'],,
tt0181984,Boiler Room,2000,2/18/00,7,40528,8000000,16938179,6722884,New Line Cinema,['Ben Younger'],,
tt0205461,Thomas and the Magic Railroad,2000,7/26/00,3.6,2793,19000000,15911333,4154932,Gullane Pictures,['Britt Allcroft'],,
tt0217630,Loser,2000,7/21/00,5.3,22812,20000000,18404706,6008611,Branti Film Productions,['Amy Heckerling'],,
tt0211938,Bait,2000,9/15/00,5.8,8867,35000000,15325127,5485591,Castle Rock Entertainment,['Antoine Fuqua'],,
tt0144084,American Psycho,2000,4/14/00,7.6,348798,7000000,34266564,4961015,Am Psycho Productions,['Mary Harron'],,
tt0208988,Get Carter,2000,10/6/00,5.1,26847,40000000,14967182,6637830,Morgan Creek Productions,['Stephen Kay'],,
tt0213790,The Ladies Man,2000,10/13/00,5.1,10658,11000000,13592872,5426390,SNL Studios,['Reginald Hudlin'],,
tt0205271,Dr T and the Women,2000,10/13/00,4.6,15426,12000000,22844291,5012867,Artisan Entertainment,['Robert Altman'],,
tt0144964,Highlander Endgame,2000,9/1/00,4.6,16068,15000000,12801190,6223330,Davis-Panzer Productions,['Douglas Aarniokoski'],,
tt0195234,Saving Grace,2000,9/1/00,6.9,15177,0,12115757,287452,Portman Entertainment Group,['Nigel Cole'],,
tt0195778,Here on Earth,2000,3/24/00,5.1,7306,15000000,10494147,4510705,Fox 2000 Pictures,['Mark Piznarski'],,
tt0199290,3 Strikes,2000,3/1/00,4,1396,6000000,9821335,3684704,Absolute Entertainment (II),['DJ Pooh'],,
tt0203230,You Can Count on Me,2000,12/22/00,7.7,21853,1200000,9180275,118170,Hart-Sharp Entertainment,['Kenneth Lonergan'],,
tt0183659,Pollock,2000,3/23/01,7,22700,6000000,10558970,305744,Brant-Allen,['Ed Harris'],,
tt0180073,Quills,2000,12/25/00,7.4,44260,13500000,17989227,249383,Fox Searchlight Pictures,['Philip Kaufman'],,
tt0203119,Sexy Beast,2000,7/13/01,7.3,42418,0,10045677,170356,Recorded Picture Company (RPC),['Jonathan Glazer'],,
tt0167203,I Dreamed of Africa,2000,5/5/00,5.6,3685,34000000,6543194,2411445,Columbia Pictures Corporation,['Hugh Hudson'],,
tt0202677,The Way of the Gun,2000,9/8/00,6.7,27248,21000000,13069740,2150979,Artisan Entertainment,['Christopher McQuarrie'],,
tt0245712,Amores Perros,2000,4/13/01,8.1,169736,2000000,5383834,61047,Altavista Films,['Alejandro G. I\xc3\xb1\xc3\xa1rritu'],,
tt0163676,The In Crowd,2000,7/19/00,4.6,3641,15000000,5217498,1505551,Morgan Creek Productions,['Mary Lambert'],,
tt0206420,Woman on Top,2000,9/22/00,5.3,8377,8000000,5018450,2008191,Fox Searchlight Pictures,['Fina Torres'],,
tt0243862,Italiensk for begyndere,2000,5/10/02,7.1,11345,0,5279161,66047,Danmarks Radio (DR),['Lone Scherfig'],,
tt0247196,Before Night Falls,2000,2/23/01,7.3,20622,0,4221817,85230,El Mar Pictures,['Julian Schnabel'],,
tt0174336,Whipped,2000,9/1/00,4.4,3652,3000000,4142507,2729625,Hi-Rez Films,['Peter M. Cohen'],,
tt0180093,Requiem for a Dream,2000,12/15/00,8.4,558684,4500000,7364000,64770,Artisan Entertainment,['Darren Aronofsky'],,
tt0160484,Lost Souls,2000,10/13/00,4.8,9262,28000000,31355910,7954766,Avery Pix,['Janusz Kaminski'],,
tt0149624,All the Pretty Horses,2000,12/25/00,5.8,11224,57000000,18133495,1304971,Columbia Pictures Corporation,['Billy Bob Thornton'],,
tt0186045,Drowning Mona,2000,3/3/00,5.6,11661,16000000,16175100,5802229,Code Entertainment,['Nick Gomez'],,
tt0190374,Dungeons  Dragons,2000,12/8/00,3.7,27347,45000000,105429119,7237422,Behaviour Worldwide,['Courtney Solomon'],,
tt0156841,The Next Best Thing,2000,3/3/00,4.7,9245,25000000,24362772,5870387,Lakeshore Entertainment,['John Schlesinger'],,
tt0134983,Supernova,2000,1/14/00,4.8,14423,65000000,14218868,6731940,Hammerhead Productions,['Walter Hill'],,
tt0192255,The Little Vampire,2000,10/27/00,5.7,7099,22000000,13555988,5719627,Avrora Media,['Uli Edel'],,
tt0198386,The Crew,2000,8/25/00,5.6,3840,23000000,13019253,4051921,George Litto Productions,['Michael Dinner'],,
tt0217756,Ready to Rumble,2000,4/7/00,5.3,11569,24000000,12372410,5257778,Bel Air Entertainment,['Brian Robbins'],,
tt0219699,The Gift,2000,1/19/01,6.7,51146,10000000,44567606,11827,Lakeshore Entertainment,['Sam Raimi'],,
tt0219952,Lucky Numbers,2000,10/27/00,5,8448,65000000,10014234,4536625,Paramount Pictures,['Nora Ephron'],,
tt0259974,Digimon The Movie,2000,10/6/00,5.9,5029,5000000,16643191,4233304,Saban Entertainment,['Mamoru Hosoda', 'Shigeyasu Yamauchi'],
tt0202402,Whatever It Takes,2000,3/24/00,5.5,7939,15000000,0,0,Columbia Pictures Corporation,['David Raynr'],,
tt0189998,Shadow of the Vampire,2000,1/26/01,6.9,33862,8000000,8279017,150171,Saturn Films,['E. Elias Merhige'],,
tt0156323,Screwed,2000,5/12/00,5.7,6908,10000000,7027345,3342085,Universal Pictures,['Scott Alexander', 'Larry Karaszewski'],
tt0120202,State and Main,2000,1/12/01,6.8,18072,0,6920692,580163,Filmtown Entertainment,['David Mamet'],,
tt0181151,What Planet Are You From,2000,3/3/00,5.6,8004,50000000,6291602,3008746,Brillstein-Grey Entertainment,['Mike Nichols'],,
tt0149367,Where the Money Is,2000,4/14/00,6.3,4477,18000000,5658940,2513530,Gramercy Pictures (I),['Marek Kanievska'],,
tt0237539,Pane e tulipani,2000,11/2/01,7.4,7777,0,5311177,32933,Istituto Luce,['Silvio Soldini'],,
tt0176783,Gossip,2000,4/21/00,5.9,12378,24000000,12591270,2321729,NPV Entertainment,['Davis Guggenheim'],,
tt0134630,Duets,2000,9/15/00,6,8107,15000000,4734235,2002588,Hollywood Pictures,['Bruce Paltrow'],,
tt0234853,The Tao of Steve,2000,9/1/00,6.8,6745,0,4340373,91791,Good Machine,['Jenniphr Goodman'],,
tt0168629,Dancer in the Dark,2000,10/6/00,8,77790,12800000,40031879,91612,Zentropa Entertainments,['Lars von Trier'],,
tt0216800,With a Friend Like Harry,2000,6/15/01,7.2,8317,0,3818452,29495,Canal+,['Dominik Moll'],,
tt0188160,Price of Glory,2000,3/31/00,6.5,712,10000000,3542843,1611833,New Line Cinema,['Carlos \xc3\x81vila'],,
tt0213847,Malna,2000,2/2/01,7.5,64291,0,3429045,62282,Medusa Film,['Giuseppe Tornatore'],,
tt0191636,La veuve de SaintPierre,2000,4/13/01,7.3,4737,100000000,3058380,31702,Ciní©maginaire Inc.,['Patrice Leconte'],,
tt0200720,The House of Mirth,2000,3/7/01,7.1,6301,10000000,3041803,45039,Three Rivers Production,['Terence Davies'],,
tt0141399,Isnt She Great,2000,1/28/00,5.3,1953,36000000,3003296,1368705,British Broadcasting Corporation (BBC),['Andrew Bergman'],,
tt0271219,Tadpole,2000,8/23/02,6.3,5135,150000,2882062,80682,Miramax,['Gary Winick'],,
tt0238247,Gods Army,2000,3/10/00,6.6,867,300000,2637726,88584,Zion Films,['Richard Dutcher'],,
tt0180837,Bossa Nova,2000,5/26/00,6.5,1545,0,1816792,22442,Columbia Pictures Television,['Bruno Barreto'],,
tt0222850,The Broken Hearts Club A Romantic Comedy,2000,10/20/00,7,6001,1000000,1744858,109694,Banner Entertainment,['Greg Berlanti'],,
tt0171356,Gun Shy,2000,2/4/00,5.7,5875,10000000,1631839,703109,Hollywood Pictures,['Eric Blakeney'],,
tt0210075,Girlfight,2000,10/6/00,6.8,8090,1000000,1523941,197896,Green/Renzi,['Karyn Kusama'],,
tt0203540,Greenfingers,2000,9/14/01,6.9,4484,5000000,1439287,65584,Boneyard Entertainment,['Joel Hershman'],,
tt0173716,Cecil B DeMented,2000,9/1/00,6.2,11283,10000000,1284646,127141,Artic Productions LLC,['John Waters'],,
tt0216772,Turn It Up,2000,9/6/00,4.4,935,9000000,1244676,576820,MadGuy Films,['Robert Adetuyi'],,
tt0217107,Trois,2000,3/10/00,3.9,523,200000,1160268,200815,Rainforest Films,['Rob Hardy'],,
tt0204640,Sordid Lives,2000,5/11/01,6.9,2339,0,1111273,13167,Daly-Harris Productions,['Del Shores'],,
tt0211492,The Luzhin Defence,2000,9/8/00,7,3751,0,1051811,63203,C.R.G. International,['Marleen Gorris'],,
tt0197096,Whats Cooking,2000,12/1/00,7.1,2258,0,1039374,144586,Because Entertainment,['Gurinder Chadha'],,
tt0202641,Two Family House,2000,10/27/00,7.3,1403,0,1015055,30316,Filbert Steps Productions,['Raymond De Felitta'],,
tt0220100,Timecode,2000,4/28/00,6.2,5838,4000000,945041,93148,Screen Gems,['Mike Figgis'],,
tt0203632,The Princess and the Warrior,2000,10/12/00,7.6,12944,0,871058,51426,X-Filme Creative Pool,['Tom Tykwer'],,
tt0160644,Passion of Mind,2000,6/2/00,5.6,2684,0,769009,236047,Lakeshore Entertainment,['Alain Berliner'],,
tt0157122,Trolsa,2000,9/15/00,7.6,2761,0,734597,29462,Classic,['Liv Ullmann'],,
tt0208196,Happy Accidents,2000,9/12/01,7.3,8293,0,688510,14840,Independent Film Channel (IFC),['Brad Anderson'],,
tt0255094,Dayereh,2000,9/8/00,7.5,4461,10000,673780,22360,Direction du Dí©veloppement et de la Coopí©ration (DDC), Dí©partement Fí©dí©ral des Affaires EtrangíÂres,['Jafar Panahi'],
tt0210567,Beautiful,2000,9/29/00,5.4,3230,9000000,3060963,1409433,Destination Films,['Sally Field'],,
tt0210299,Songcatcher,2000,7/27/01,7.2,2749,1800000,3050934,41967,ErgoArts,['Maggie Greenwald'],,
tt0200669,The Golden Bowl,2000,5/25/01,6,3729,15000000,3037579,90170,Merchant Ivory Productions,['James Ivory'],,
tt0153464,Up at the Villa,2000,5/19/00,6,2253,0,2927319,339819,October Films,['Philip Haas'],,
tt0118694,In the Mood for Love,2000,3/9/01,8.1,73192,0,3030425,113280,Block 2 Pictures,['Kar-Wai Wong'],,
tt0205873,The Dish,2000,5/4/01,7.3,12382,0,2252970,70612,Working Dog,['Rob Sitch'],,
tt0216799,Harrisons Flowers,2000,3/15/02,7.2,5303,8000000,1843570,867635,7 Films Ciní©ma,['\xc3\x89lie Chouraqui'],,
tt0211103,La vie aprs lamour,2000,7/7/00,6.3,399,0,0,0,Canadian Film or Video Production Tax Credit (CPTC),['Gabriel Pelletier'],,
tt0163745,The Debut,2000,8/13/03,6.7,574,0,0,0,5 Card Productions,['Gene Cajayon'],,
tt0171359,Hamlet,2000,6/23/00,6,7962,2000000,1568749,62253,double A Films,['Michael Almereyda'],,
tt0240913,Under the Sand,2000,5/4/01,7.3,6704,0,1450106,32657,Fidí©lití© Productions,['Fran\xc3\xa7ois Ozon'],,
tt0234288,Musme si pomhat,2000,3/16/00,7.8,4170,0,1320112,28583,Ceskíç Televize,['Jan Hrebejk'],,
tt0196106,MVP Most Valuable Primate,2000,10/20/00,3.8,1738,4500000,1246237,202540,Keystone Family Pictures,['Robert Vince'],,
tt0247586,Nine Queens,2000,8/31/00,7.9,37241,1500000,1221261,40724,FX Sound,['Fabi\xc3\xa1n Bielinsky'],,
tt0212974,Groove,2000,10/19/00,6.5,3537,500000,1114943,55946,415 Productions,['Greg Harrison'],,
tt0203166,Tillsammans,2000,9/21/01,7.5,17296,17000000,6094026,69209,Memfis Film,['Lukas Moodysson'],,
tt0200530,Chuck  Buck,2000,8/4/00,6.6,4641,250000,1050600,72831,Artisan Entertainment,['Miguel Arteta'],,
tt0182508,Urbania,2000,8/9/01,7,2730,225000,1032075,72129,Daly-Harris Productions,['Jon Shear'],,
tt0255321,Liam,2000,10/5/01,7,2273,1600000,1006408,44399,British Broadcasting Corporation (BBC),['Stephen Frears'],,
tt0138946,The Yards,2000,10/27/00,6.4,15935,24000000,882710,57339,Miramax,['James Gray'],,
tt0245837,Chunhyangdyun,2000,1/29/00,7.3,1382,0,0,0,CJ Entertainment,['Kwon-taek Im'],,
tt0206917,The Man Who Cried,2000,12/8/00,6.2,12445,0,739583,123577,Canal+,['Sally Potter'],,
tt0259072,Zamani baray masti asbha,2000,9/13/00,7.7,5171,0,700159,42188,Bahman Ghobadi Films,['Bahman Ghobadi'],,
tt0246765,Lumumba,2000,9/27/00,7.2,1421,0,684121,24625,Arte France Ciní©ma,['Raoul Peck'],,
tt0234805,The Legend of Rita,2000,9/14/00,7,1777,0,671565,9318,ARTE,['Volker Schl\xc3\xb6ndorff'],,
tt0172632,Joe Goulds Secret,2000,5/26/00,6.6,1360,0,641117,38760,Bohemian Productions,['Stanley Tucci'],,
tt0248012,Fiza,2000,9/8/00,6.2,2651,1000000,623791,137687,Culture Company, The,['Khalid Mohamed'],
tt0138681,The Opportunists,2000,8/11/00,5.9,1011,0,581142,46967,Clinica Estetico,['Myles Connell'],,
tt0234137,Love  Sex,2000,7/14/00,6.3,4656,0,546287,58116,Behaviour Worldwide,['Valerie Breiman'],,
tt0212826,Bread and Roses,2000,10/25/00,7.1,4454,0,525738,49662,Parallax Pictures,['Ken Loach'],,
tt0212815,Big Eden,2000,4/18/00,7.4,3285,0,0,0,Chaiken Films,['Thomas Bezucha'],,
tt0224578,The Vertical Ray of the Sun,2000,5/24/00,7.2,3026,0,456387,29339,Arte France Ciní©ma,['Tran Anh Hung'],,
tt0222851,Brother,2000,1/27/01,7.2,18249,10000000,447750,60029,Recorded Picture Company (RPC),['Takeshi Kitano'],,
tt0262674,Paria,2000,11/7/01,7.3,50,0,0,0,Arte France Ciní©ma,['Nicolas Klotz'],,
tt0160498,Luminarias,2000,5/5/00,3.6,505,1000000,428535,122158,July Street Entertainment,['Jos\xc3\xa9 Luis Valenzuela'],,
tt0250415,Har Dil Jo Pyar Karega,2000,7/24/00,5.2,2936,0,406235,249561,Nadiadwala Grandson Entertainment,['Raj Kanwar'],,
tt0255212,Hamara Dil Aapke Paas Hai,2000,8/25/00,5.6,1279,0,392076,219434,S.K. Film Enterprises,['Satish Kaushik'],,
tt0228242,The Adventures of Felix,2000,4/19/00,7,1548,0,363409,13275,Arte France Ciní©ma,['Olivier Ducastel', 'Jacques Martineau'],
tt0250478,Nico and Dani,2000,2/2/01,6.9,5329,0,347986,16942,Canal+ Espaí±a,['Cesc Gay'],,
tt0127349,Waking the Dead,2000,3/24/00,6.7,5902,8500000,327418,150422,Polygram Filmed Entertainment,['Keith Gordon'],,
tt0250264,Bonhoeffer Agent of Grace,2000,8/24/00,6.4,429,0,0,0,NFP Teleart Berlin (I),['Eric Till'],,
tt0162711,Trixie,2000,8/18/00,5,1285,0,291022,41620,Pandora Cinema,['Alan Rudolph'],,
tt0222012,Hey Ram,2000,2/18/00,8.1,6934,0,274675,169402,Raajkamal Films International,['Kamal Haasan'],,
